station_id,name,lat,lng,elevation,attributes
0115,Piiholo,20.8415,-156.2948,637.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0116,Keokea,20.7067,-156.3554,871.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0118,Pulehu,20.79532,-156.35991,427.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0119,Kula Ag,20.757889,-156.320028,964.0,"['Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Incoming shortwave radiation', 'Net shortwave radiation', 'NR01 heater duty cycle', 'Enclosure relative humidity', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Net outgoing radiation', 'Mean wind speed', 'Soil heat flux, sensor 2', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Wind direction standard deviation', 'Maximum wind gust']"
0121,Lipoa,20.7458333,-156.4305556,88.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0131,Lahaina WTP,20.89072,-156.65493,244.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0132,Olowalu,20.82078,-156.6152,54.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0133,Honolua,21.0012,-156.62267,170.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'RGtip_1_Tot60s', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'RF_1_Tot60s', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0134,Hanaula,20.841,-156.5545,1215.0,"['Cellular signal quality', 'Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Maximum rain intensity', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Soil temperature, sensor 3', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Soil temperature, sensor 4', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Soil moisture, sensor 3', 'Incoming shortwave radiation', 'Net shortwave radiation', 'Enclosure relative humidity', 'NR01 heater duty cycle', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Cellular signal strength', 'RGtip_1_Tot60s', 'Net outgoing radiation', 'Mean wind speed', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Soil temperature, sensor 2', 'RF_1_Tot60s', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', '5-minute cellular data usage', 'RGtip_1_Tot300s', 'Maximum wind gust']"
0141,Auwahi,20.644222,-156.342056,1177.0,"['Resultant vector wind direction', 'Maximum soil temperature', 'Net longwave radiation', 'Soil moisture, sensor 1', 'Saturation vapor pressure, sensor 2', 'Pressure', 'Wind direction standard deviation', 'Resultant vector wind speed', 'Air temperature, sensor 2', 'Vapor pressure deficit, sensor 1', 'Minimum soil temperature', 'Soil temperature, sensor 1', 'Saturation vapor pressure, sensor 1', 'Maximum air temperature, sensor 2', 'Outgoing longwave radiation', 'NR01 sensor body temperature', 'Vapor pressure, sensor 1', 'Maximum wind speed', 'Outgoing shortwave radiation', 'Minimum air temperature, sensor 2', 'Vapor pressure deficit, sensor 2', 'Sea level pressure', 'Air temperature, sensor 1', 'Relative humidity, sensor 1', 'Vapor pressure, sensor 2', 'Soil heat flux, sensor 1', 'Battery voltage', 'Rainfall', 'Maximum relative humidity, sensor 1', 'Minimum relative humidity, sensor 1', 'Relative humidity, sensor 2', 'Incoming shortwave radiation', 'Net shortwave radiation', 'NR01 heater duty cycle', 'Enclosure relative humidity', 'Thermocouple temperature', 'Minimum air temperature, sensor 1', 'Unit vector average wind direction', 'Sky temperature', 'Net outgoing radiation', 'Mean wind speed', 'Soil heat flux, sensor 2', 'Maximum air temperature, sensor 1', 'Surface temperature', 'Logger panel temperature', 'Incoming longwave radiation', 'Net incoming radiation', 'Net radiation', 'Wind direction standard deviation, wind speed weighted', 'Surface soil heat flux', 'Soil moisture, sensor 2', 'Maximum wind gust']"
